"publication_name";"publication_url";"tome";"year";"url"
"Stochastic-Expansions-Based Model-Assisted Probability of Detection Analysis of the Spherically-Void-Defect Benchmark Problem";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_47";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Accelerating Optical Absorption Spectra and Exciton Energy Computation via Interpolative Separable Density Fitting";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_48";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Model-Assisted Probability of Detection for Structural Health Monitoring of Flat Plates";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_49";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Anomalous Trajectory Detection Between Regions of Interest Based on ANPR System";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_50";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Dynamic Real-Time Infrastructure Planning and Deployment for Disaster Early Warning Systems";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_51";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Calibration and Monitoring of IoT Devices by Means of Embedded Scientific Visualization Tools";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_52";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Gated Convolutional LSTM for Speech Commands Recognition";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_53";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Enabling Machine Learning on Resource Constrained Devices by Source Code Generation of the Learned Models";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_54";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Fast Retrieval of Weather Analogues in a Multi-petabytes Archive Using Wavelet-Based Fingerprints";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_55";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Assimilation of Fire Perimeters and Satellite Detections by Minimization of the Residual in a Fire Spread Model";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_56";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Analyzing Complex Models Using Data and Statistics";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_57";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Research on Technology Foresight Method Based on Intelligent Convergence in Open Network Environment";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_58";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Prediction of Blasting Vibration Intensity by Improved PSO-SVR on Apache Spark Cluster";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_59";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Bisections-Weighted-by-Element-Size-and-Order Algorithm to Optimize Direct Solver Performance on 3D hp-adaptive Grids";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_60";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Establishing EDI for a Clinical Trial of a Treatment for Chikungunya";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_61";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Static Analysis and Symbolic Execution for Deadlock Detection in MPI Programs";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_62";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Reproducible Roulette Wheel Sampling for Message Passing Environments";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_63";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Speedup of Bicubic Spline Interpolation";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_64";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Optimized Eigenvalue Solvers for the Neutron Transport Equation";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_65";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Multiscale Homogenization of Pre-treatment Rapid and Slow Filtration Processes with Experimental and Computational Validations";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_66";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"The Solution of the Lambda Modes Problem Using Block Iterative Eigensolvers";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_67";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"A Versatile Hybrid Agent-Based, Particle and Partial Differential Equations Method to Analyze Vascular Adaptation";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_68";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Development of a Multiscale Simulation Approach for Forced Migration";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_69";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"ALE Method for a Rotating Structure Immersed in the Fluid and Its Application to the Artificial Heart Pump in Hemodynamics";"https://link.springer.com/chapter/10.1007/978-3-319-93713-7_1";"LNCS_10862";2018;"https://link.springer.com/book/10.1007/978-3-319-93713-7"
"Free Surface Flow Simulation of Fish Turning Motion";"https://link.springer.com/chapter/10.1007/978-3-319-93713-7_2";"LNCS_10862";2018;"https://link.springer.com/book/10.1007/978-3-319-93713-7"
"Circular Function-Based Gas-Kinetic Scheme for Simulation of Viscous Compressible Flows";"https://link.springer.com/chapter/10.1007/978-3-319-93713-7_3";"LNCS_10862";2018;"https://link.springer.com/book/10.1007/978-3-319-93713-7"
"A New Edge Stabilization Method for the Convection-Dominated Diffusion-Convection Equations";"https://link.springer.com/chapter/10.1007/978-3-319-93713-7_4";"LNCS_10862";2018;"https://link.springer.com/book/10.1007/978-3-319-93713-7"
"Symmetric Sweeping Algorithms for Overlaps of Quadrilateral Meshes of the Same Connectivity";"https://link.springer.com/chapter/10.1007/978-3-319-93713-7_5";"LNCS_10862";2018;"https://link.springer.com/book/10.1007/978-3-319-93713-7"
